total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;trustPhase;trustValue;noIgnored;noSuggestions;workload;timePressure;taskSeverity;taskSwitch;occupiedTime;complySpeed;performanceGap;responseTime;searchTookLong;world_nr;tick_nr
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0
0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;-1;-1;-1;1;1
0;1;0;0;0;2;0.25;0;0;0.08;0;0.33;0;0;-1;-1;-1;-1;1;2
0;1;0;0;0;2;0.25;0;0;0.08;0;0.33;0;0;-1;-1;-1;-1;1;3
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;4
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;5
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;6
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;7
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;8
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;9
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;10
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;11
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;12
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;13
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;14
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;15
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;16
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;17
0;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;18
1;2;0;0;0;2;0.25;0;0;0.08;0.0;0.33;0;0;-1;-1;-1;-1;1;19
